acc,accm,amloc,anpm,cbo,dit,lcom4,loc,noa,noc,nom,npa,npm,rfc,sc, good_design
0,1,3.5,1.5,0,0,2,7,3,0,2,0,1,2,0,1
0,1,9.5,2.5,1,3,2,19,4,0,2,0,2,4,2,1
1,2,10,1.6666666667,3,5,3,30,0,0,3,0,3,14,9,1
66,9.5333333333,39.9666666667,1.6666666667,16,2,18,1199,8,27,30,2,28,159,288,0
42,2.1111111111,9.7222222222,1.2777777778,6,1,8,175,3,20,18,0,18,50,48,1
0,1,1.3333333333,0.3333333333,0,0,2,4,1,0,3,0,3,5,0,1
0,1,6,2,2,3,4,24,2,0,4,0,4,8,8,1
0,2.5,14,1.5,3,4,4,56,0,0,4,0,3,15,12,1
2,1.1428571429,5,1.2857142857,2,3,6,35,5,0,7,0,7,14,12,1
4,1.8,14.8,1.8,9,4,5,74,0,4,5,0,4,24,45,1
0,2.3333333333,13.6666666667,1.6666666667,5,5,3,41,0,0,3,0,3,18,15,1
0,1.6666666667,9,1.6666666667,4,5,3,27,0,0,3,0,3,15,12,1
0,1.6666666667,8.6666666667,1.6666666667,2,3,3,26,0,0,3,0,3,8,6,1
0,1.4,8.8,3.2,2,3,5,44,11,0,5,6,5,10,10,1
1,2.4,16,2.6,6,3,3,80,1,0,5,0,4,27,18,1
0,1,7.3333333333,2.6666666667,3,3,3,22,1,0,3,0,3,8,9,1
0,1,7,2,2,3,4,28,1,0,4,0,4,8,8,1
0,1,6.5,2.5,1,3,2,13,4,0,2,0,2,4,2,1
0,1,7,2.5,1,3,2,14,3,0,2,0,2,4,2,1
0,1.6,10.8,1.8,3,4,3,54,1,0,5,0,5,18,9,1
0,1,7,3,0,0,1,7,0,0,1,0,1,2,0,1
0,1,5,2.5,2,3,2,10,2,0,2,0,2,5,4,1
0,1.6666666667,10.3333333333,1.6666666667,4,5,3,31,0,0,3,0,3,15,12,1
0,2,13.4,1.6,4,4,5,67,2,0,5,0,5,19,20,1
0,2.25,11.5,1.25,5,4,4,46,3,0,4,0,4,17,20,1
2,1.2,16.2,4.2,1,0,2,81,8,0,5,0,5,32,2,1
0,1,3.25,0.75,0,0,2,13,1,0,4,0,4,10,0,1
0,1.5,8.5,1.25,3,3,3,34,0,0,4,0,3,15,9,1
14,2.6428571429,18.5,1.3571428571,11,3,6,259,9,8,14,0,8,81,66,0
0,1.25,6,1.75,3,4,4,24,1,0,4,1,3,11,12,1
2,1,1,0,1,0,1,1,1,0,1,1,1,2,1,1
1,2.4210526316,14.2105263158,1.2105263158,5,0,1,270,12,0,19,12,18,71,5,1
0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1
1,3,10.75,0.25,3,0,1,43,2,0,4,2,4,18,3,1
19,3.7173913043,21.347826087,1.847826087,19,0,11,982,16,0,46,2,33,247,209,0
1,1.5,5,0,1,0,1,10,6,0,2,6,2,9,1,1
0,1,7,1,1,0,1,7,0,0,1,0,1,2,1,1
0,2.6666666667,11,2.6666666667,2,0,3,33,5,0,3,1,2,6,6,1
17,5.2962962963,29.7111111111,1.6,40,1,53,4011,60,0,135,25,86,749,2120,0
0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1
0,3.1052631579,15.4736842105,1.2105263158,8,0,1,294,5,0,19,0,9,81,8,1
0,2,6,1,0,0,2,12,1,0,2,1,2,2,0,1
0,3.5,16,2.5,6,0,1,32,5,0,2,5,2,19,6,1
0,3,9.75,1.25,1,0,3,39,3,0,4,0,2,11,3,1
0,4.3333333333,27,2.2,8,0,3,405,5,0,15,0,11,95,24,1
0,1.5,6.5,1,1,1,2,13,1,0,2,0,2,4,2,1
1,3.5,26.25,2,6,3,2,105,5,0,4,5,3,25,12,1
0,1.5,7.5,2.5,0,1,1,15,4,0,2,0,2,7,0,1
0,1,1.3333333333,0.3333333333,1,0,2,4,1,0,3,0,2,6,2,1
0,1.125,5.625,1,2,2,8,45,4,0,8,0,8,13,16,1
0,1,1.75,1,0,2,4,7,1,0,4,0,4,4,0,1
0,1.5,5.6666666667,1.6666666667,2,6,6,34,0,0,6,0,6,11,12,1
1,1.7777777778,7.4444444444,1.3333333333,5,4,6,67,2,0,9,0,8,28,30,1
1,3.1428571429,20.5714285714,2,9,0,3,144,9,0,7,0,7,38,27,1
13,2.0714285714,15.5,1.6428571429,9,0,11,217,2,2,14,0,13,37,99,1
6,3,20.6666666667,1.6666666667,2,1,2,62,1,3,3,0,3,15,4,1
0,1.875,22.75,1.125,7,2,1,182,3,0,8,1,7,48,7,1
0,1.75,11,1.875,8,10,8,88,0,0,8,0,8,21,64,1
8,2.3333333333,14.25,1.5555555556,22,9,21,513,3,0,36,1,30,125,462,0
14,2.9891304348,19.6413043478,0.8586956522,33,9,9,1807,51,2,92,5,61,559,297,0
1,1.1666666667,6.5833333333,1.25,4,10,12,79,0,0,12,0,12,21,48,1
12,2.3076923077,11,0.8461538462,2,1,5,143,5,7,13,1,6,40,10,1
1,1,1,1,0,1,4,4,0,1,4,0,4,4,0,1
13,1,4.2777777778,0.5555555556,0,1,17,77,0,1,18,0,16,20,0,1
1,1,1,3,0,1,2,2,0,1,2,0,2,2,0,1
5,1,1,0,0,0,1,1,0,4,1,0,1,1,0,1
5,1,1,0,0,1,2,2,0,5,2,0,2,2,0,1
