0,2,17,2,7,2,1,17,0,0,1,0,1,12,7,1
0,15.5,84.5,2,11,2,2,169,0,0,2,0,2,40,22,1
1,1.1666666667,4.3333333333,0.5,2,0,1,26,4,0,6,0,1,20,2,1
0,1.75,15.25,2,7,2,4,61,0,0,4,0,4,20,28,1
6,1.1428571429,5.4285714286,1.8857142857,21,1,2,190,1,1,35,0,34,152,42,1
2,2.8648648649,16.4864864865,1.5675675676,15,0,5,610,16,0,37,1,8,212,75,1
3,1,1,0.5,0,1,4,4,0,1,4,0,3,4,0,1
0,9,26,2,3,1,1,26,0,0,1,0,1,6,3,1
2,0,0,0,0,0,0,0,4,0,0,4,0,0,0,1
0,1.1428571429,4,1.1428571429,2,1,2,28,2,0,7,0,6,23,4,1
0,3.7058823529,20.2058823529,2.0294117647,17,0,2,687,13,0,34,0,5,196,34,0
3,1.6,5.2,0.8,0,0,1,26,2,0,5,0,4,11,0,1
2,0,0,0,0,0,0,0,4,0,0,4,0,0,0,1
0,1.1428571429,4,1.1428571429,1,1,2,28,2,0,7,0,6,22,2,1
1,1.4,5.6,2.2,0,0,1,28,4,0,5,4,0,13,0,1
4,1,2.1666666667,1,1,0,6,13,1,2,6,0,1,7,6,1
0,3.5,30.25,2,11,3,2,121,0,0,4,0,3,38,22,1
1,1.5,6.375,1.5,10,2,4,51,1,0,8,0,6,29,40,1
11,1.5294117647,6.4117647059,0.4117647059,4,0,2,109,18,0,17,0,16,76,8,1
3,1,1,2,0,0,1,1,0,1,1,0,0,1,0,1
1,4.4193548387,21.1935483871,1.6451612903,32,1,2,657,1,0,31,0,18,224,64,0
1,1,7.25,1.25,4,0,2,29,3,0,4,1,3,26,8,1
0,3.7613636364,15.5227272727,1.875,39,2,10,1366,5,0,88,0,32,447,390,1
1,1,3,1.3333333333,0,1,1,9,1,0,3,0,2,5,0,1
4,2.5,11.4,0.5,7,0,2,114,14,0,10,0,5,53,14,1
2,2.3888888889,8.7777777778,1.2777777778,3,0,1,158,6,0,18,0,18,68,3,1
1,2.9444444444,13.7222222222,1.8888888889,18,2,5,247,1,0,18,0,13,111,90,1
0,3,13.7142857143,1.4285714286,10,3,1,96,0,0,7,0,3,37,10,1
0,3.3333333333,9.6666666667,2,5,2,3,29,0,0,3,0,3,14,15,1
1,1,3.25,0.75,2,0,2,13,4,0,4,0,1,10,4,1
0,4.6666666667,30.3333333333,1.3333333333,8,2,1,91,0,0,3,0,1,33,8,1
4,1.6296296296,6.5555555556,1.0740740741,12,1,4,177,10,1,27,0,24,88,48,1
2,1,5.6666666667,0.6666666667,4,0,1,17,4,0,3,0,1,11,4,1
0,1.5,4.5,1.8,10,2,3,45,0,0,10,0,8,29,30,1
0,1.7,4.8,1.9,8,1,6,48,0,0,10,0,9,28,48,1
0,2,12,1.3333333333,7,2,1,36,1,0,3,0,2,17,7,1
0,1.1666666667,3.6666666667,1,3,1,1,22,1,0,6,0,0,17,3,1
2,3.5625,18,1.625,22,0,2,288,4,0,16,0,7,111,44,1
0,1,3.1666666667,0.8333333333,1,1,2,19,1,0,6,0,6,16,2,1
5,1,1,0.8,0,0,5,5,0,4,5,0,4,5,0,1
0,1,3,0.8,0,1,5,15,0,0,5,0,5,5,0,1
3,1,1,2,0,0,1,1,0,2,1,0,0,1,0,1
0,1,2,2,0,1,1,2,0,0,1,0,1,1,0,1
3,2.8333333333,19.6666666667,1.5833333333,10,0,2,236,33,0,12,0,1,83,20,1
0,2.5,16.4545454545,1.5909090909,28,1,4,362,2,0,22,0,14,170,112,1
0,2.7142857143,24.3452380952,1.8095238095,70,2,50,2045,9,0,84,0,61,687,3500,0
0,1,748.3333333333,0.6666666667,0,0,3,2245,2,0,3,0,2,5,0,1
0,1.3333333333,4.6666666667,2,6,1,3,28,1,0,6,0,6,20,18,1
0,1,3.75,2,3,1,1,15,2,0,4,0,4,18,3,1
3,1.3076923077,5.3846153846,1.5384615385,9,1,1,70,1,1,13,0,9,40,9,1
0,1,1,1,0,0,2,2,0,0,2,0,1,2,0,1
0,2.4285714286,14.4285714286,2,0,0,14,202,2,0,14,1,2,14,0,1
0,4,38,2,0,1,2,76,1,0,2,0,1,2,0,1
0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1
0,1,1,1.5,0,0,2,2,0,0,2,0,1,2,0,1
0,2.5714285714,9.7142857143,2.2857142857,0,0,5,68,0,0,7,0,7,9,0,1
0,1.6666666667,7.6666666667,2,0,1,3,23,2,0,3,0,2,3,0,1
15,1.1111111111,3.7222222222,0.9444444444,2,1,13,67,3,0,18,0,16,33,26,1
0,1,3,0.75,1,1,3,12,0,0,4,0,3,6,3,1
0,1,3,0.75,1,1,3,12,0,0,4,0,3,6,3,1
0,1,3,1,1,0,2,9,0,0,3,0,2,5,2,1
0,1,3,2,0,0,2,6,0,0,2,0,2,2,0,1
0,3.152173913,18.2173913043,1.5434782609,31,1,3,838,9,0,46,0,26,311,93,0
1,1.1875,4.125,1.0625,0,0,1,66,5,0,16,0,8,51,0,1
0,1,3,1,1,0,2,9,0,0,3,0,2,5,2,1
0,1,3,1,0,0,1,3,0,0,1,0,1,1,0,1
0,1,3.5,1,1,1,2,14,1,0,4,0,3,9,2,1
0,1,3,0.75,1,1,3,12,0,0,4,0,3,6,3,1
0,1,2.75,0.75,2,1,4,11,2,0,4,2,4,6,8,1
0,1,3,1,1,0,2,9,0,0,3,0,2,5,2,1
0,1,3,0.75,1,1,3,12,0,0,4,0,3,6,3,1
2,1,3.1666666667,0.1666666667,0,0,2,19,4,0,6,0,6,13,0,1
0,1,3,0.25,1,2,3,12,0,0,4,0,3,6,3,1
0,1,3,0.75,1,1,3,12,0,0,4,0,3,6,3,1
0,1,3,1,0,1,2,6,0,0,2,0,2,2,0,1
0,1,3,0.75,1,1,3,12,0,0,4,0,3,6,3,1
0,1,3,0.75,1,0,3,12,0,0,4,0,3,6,3,1
0,1,2.375,0.375,0,0,8,19,4,0,8,0,7,8,0,1
1,1,3,0.75,1,1,3,12,0,1,4,0,3,6,3,1
0,1.25,3.75,0.75,1,1,3,15,3,0,4,3,3,6,3,1
1,5.3333333333,24,1,2,0,1,72,1,1,3,0,2,11,2,1
2,1,3,0.6,1,0,4,15,0,0,5,0,4,7,4,1
3,1.1428571429,4.1428571429,0.7142857143,3,0,2,29,2,0,7,0,6,21,6,1
0,1,3,1,1,0,2,9,0,0,3,0,2,5,2,1
0,1,3,1,0,1,2,6,0,0,2,0,2,2,0,1
0,1,3,0.75,1,0,4,12,0,0,4,0,3,5,4,1
0,1,3,1,1,0,2,9,0,0,3,0,2,5,2,1
0,1,3,0.75,1,1,3,12,0,0,4,0,3,6,3,1
2,1,1,2,0,0,1,1,0,1,1,0,0,1,0,1
