0,1.5,5,0.75,3,2,1,20,3,0,4,0,4,14,3,1
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,0,0,0,2,2,0,0,2,0,2,2,0,1
0,1,3.6666666667,0.6666666667,0,1,3,11,1,0,3,0,3,4,0,1
1,1.6666666667,6.6666666667,0.6666666667,0,1,1,20,1,0,3,1,3,7,0,1
0,1,3,1,1,1,1,3,0,0,1,0,1,2,1,1
0,2,9,1,0,0,1,9,1,0,1,1,1,2,0,1
0,1,1,0.3333333333,0,0,3,3,0,0,3,0,3,3,0,1
1,1,3,0,0,0,1,3,0,1,1,0,1,1,0,1
0,1,3.5,0.5,0,1,1,7,0,0,2,0,2,3,0,1
5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,3,0,0,0,1,3,0,0,1,0,0,1,0,1
0,1,3,0,0,0,1,3,0,0,1,0,0,1,0,1
0,1,3,0,0,0,1,3,0,0,1,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,0.5,0,0,2,2,0,0,2,0,2,2,0,1
0,1,4,0,0,2,1,4,0,0,1,0,1,1,0,1
2,1,1,0,0,1,1,1,0,2,1,0,0,1,0,1
0,1,3,0,0,2,1,3,0,0,1,0,1,1,0,1
0,1,4,1,0,0,1,4,0,0,1,0,1,1,0,1
0,1.3333333333,4.6666666667,0.3333333333,0,1,3,14,0,0,3,0,3,3,0,1
31,2.6721311475,37.1639344262,1.2459016393,4,3,11,2267,16,3,61,0,39,189,44,0
0,1.75,7.5,0.25,1,1,1,30,3,0,4,0,2,15,1,1
11,1.8181818182,9.0454545455,0.9545454545,2,0,1,199,7,2,22,0,18,71,2,1
0,1,1,1.6,0,0,5,5,0,0,5,0,4,5,0,1
1,2.3,10,0.6,0,0,3,100,5,0,10,0,5,23,0,1
23,1,3.9090909091,0.5454545455,3,1,3,43,7,0,11,0,11,32,9,1
19,1,3.2727272727,1.0909090909,1,0,6,36,2,4,11,0,11,18,6,1
40,1,1,1,0,1,7,7,0,17,7,0,6,7,0,1
16,1,1,1,0,2,4,4,0,4,4,0,3,4,0,1
7,2.3043478261,13.5,1.1086956522,7,0,3,621,17,0,46,1,28,188,21,1
18,1.85,8.35,1,3,3,7,167,7,9,20,1,12,53,21,1
0,1.3333333333,4.3333333333,1.3333333333,1,1,1,13,2,0,3,0,3,9,1,1
