"acc","accm","amloc","anpm","anpm_kurtosis","cbo","dit","dit_kurtosis","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
1,1,12,8,,1,0,,1,12,12,7,0,1,0,0,9,1
2,1,9,1,,1,1,,1,18,15,5,0,2,0,2,6,1
1,3,16.6666666667,1,,5,1,,1,100,35,4,0,6,0,5,27,5
0,1.6428571429,8.5952380952,1.0714285714,,7,1,,4,361,60,6,0,42,0,31,127,28
17,1.3411764706,4.8705882353,0.8823529412,,0,0,,25,414,28,47,0,85,0,84,186,0
0,5.5263157895,24.4385964912,1.4210526316,,9,1,,1,1393,100,14,0,57,0,2,547,9
4,4.5714285714,30.6428571429,1.5714285714,,8,1,,1,429,137,13,0,14,0,7,79,8
1,1,5,2,,0,0,,1,5,5,1,0,1,0,1,1,0
0,1,8,1,,1,1,,1,8,8,2,0,1,0,1,4,1
0,5,25.6666666667,1.3333333333,,3,1,,1,77,67,2,0,3,0,2,11,3
4,1.2142857143,4.2142857143,0.5714285714,,0,0,,1,59,11,6,0,14,2,14,44,0
1,1.7142857143,10.4285714286,1,,1,0,,1,73,31,5,0,7,0,7,26,1
3,2.625,18,1.125,,1,0,,2,144,50,5,0,8,0,8,38,2
1,2.2857142857,6.2857142857,0.7142857143,,0,0,,1,44,15,6,0,7,0,7,20,0
1,2.75,29,2,,5,0,,2,116,90,1,0,4,1,3,17,10
0,3.1,11.6,0.85,,1,0,,1,232,49,8,0,20,0,0,95,1
0,1.5,7.3333333333,1.2083333333,,4,1,,1,176,41,3,0,24,0,20,80,4
1,1.5,4.5,0.5,,1,1,,1,9,6,1,0,2,0,1,5,1
75,0,0,0,,0,0,,0,0,0,57,8,0,57,0,0,0
2,4,32.5,3,,7,0,,2,130,87,1,0,4,0,3,31,14
1,5.2222222222,31,1.8888888889,,5,1,,1,279,98,23,0,9,0,5,79,5
1,1,3.5,0.75,,0,0,,1,14,5,3,0,4,0,0,10,0
0,3,21.5,1,,7,1,,1,43,38,2,0,2,0,1,16,7
1,8.625,38.875,1.75,,8,1,,1,622,97,6,0,16,0,5,117,8
15,1,1,1,,0,0,,1,1,1,0,14,1,0,0,1,0
15,1,1,0.7333333333,,0,0,,15,15,1,0,1,15,0,14,15,0
1,4.2,22.6,1.6,,2,0,,1,113,45,7,0,5,0,2,27,2
0,1.3529411765,4.8823529412,0.8235294118,,2,1,,1,83,10,4,0,17,0,15,50,2
0,1,9,2,,1,0,,1,9,9,0,0,1,0,1,2,1
1,1.3,4.5,0.9,,4,1,,6,45,16,6,0,10,0,9,28,24
1,1.1666666667,3.6666666667,1,,0,0,,2,22,7,2,0,6,0,5,13,0
2,5.25,32.5,1,,5,0,,2,390,124,15,0,12,3,5,62,10
0,1.3333333333,4,0.6666666667,,1,1,,3,12,6,0,0,3,0,3,7,3
0,5,32,2,,4,0,,2,96,52,0,0,3,0,2,9,8
0,9,36.5,1.25,,4,1,,3,292,133,4,0,8,0,5,67,12
0,4.4736842105,27.7894736842,1.4736842105,,9,1,,2,1056,199,19,0,38,0,23,209,18
1,1.5,5,0.5,,1,1,,1,10,7,1,0,2,0,2,4,1
0,3,16,1,,3,1,,1,32,29,1,0,2,0,1,7,3
2,3.25,16.25,0.25,,1,0,,1,65,49,6,0,4,0,4,16,1
8,4.5588235294,20.5490196078,0.8823529412,,15,0,,3,2096,550,49,0,102,0,89,570,45
3,1.2222222222,13.8888888889,0.3333333333,,0,1,,5,125,88,5,0,9,0,8,17,0
0,2,6,1.5,,0,1,,1,12,6,1,0,2,0,2,4,0
0,1.1,3.2,0.7,,0,1,,1,32,4,2,0,10,0,10,22,0
0,3.2857142857,13,2.5714285714,,0,1,,1,91,24,2,0,7,0,7,17,0
0,1.6666666667,7.3333333333,2.6666666667,,1,1,,1,22,14,1,0,3,0,3,7,1
0,1,3.5,1,,0,1,,1,7,4,1,0,2,0,2,4,0
0,4,21.6,2.2,,0,1,,1,108,34,3,0,5,0,4,18,0
0,1,3,2,,0,1,,1,3,3,1,0,1,0,1,1,0
0,1.8,6,0.8,,0,1,,2,60,16,2,0,10,0,10,24,0
0,1,3,2,,0,1,,1,3,3,1,0,1,0,1,1,0
0,1,3,2,,0,1,,1,3,3,1,0,1,0,1,1,0
0,1,3,2,,0,1,,1,3,3,1,0,1,0,1,1,0
0,2,6.3846153846,0.7692307692,,0,1,,2,83,16,2,0,13,0,13,32,0
0,1,3,1,,0,1,,1,6,3,1,0,2,0,2,4,0
0,3.25,11.5555555556,0.1944444444,,1,1,,3,416,309,31,0,36,1,36,99,3
0,1,3,1.3333333333,,0,0,,3,9,3,1,0,3,0,3,3,0
0,2.8414634146,13.5243902439,0.512195122,,4,1,,19,1109,155,82,0,82,1,67,316,76
21,2.2307692308,9.9038461538,0.7692307692,,7,0,,3,515,63,28,0,52,0,45,204,21
16,1,1,0,,0,0,,31,31,1,0,2,31,0,31,31,0
1,1.8378378378,6.7567567568,0.8108108108,,0,1,,1,250,20,6,0,37,0,33,123,0
0,1,3,0.5,,0,1,,5,30,7,1,0,10,0,8,15,0
0,1.5,5,0.5,,0,0,,2,10,8,0,0,2,0,1,2,0
1,2.2857142857,10.1428571429,0.5714285714,,0,1,,3,71,29,6,0,7,0,6,19,0
0,1.9487179487,7.9487179487,0.9230769231,,0,1,,39,310,32,7,0,39,0,35,39,0
