0,6,33.5,2,4,2,67,0,2,0,2,8,8,1
0,3,16,1,4,1,16,2,1,2,1,8,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3,17,1.8,8,5,85,4,5,4,5,17,40,1
0,0,0,0,0,0,0,3,0,3,0,0,0,1
0,2.3333333333,13.6666666667,2.1111111111,8,9,123,5,9,5,9,22,72,1
0,3,16.4285714286,1.8571428571,8,6,115,4,7,4,7,20,48,1
0,8,65,2,10,1,65,0,1,0,1,17,10,1
0,2,9.3333333333,2,8,3,28,3,3,3,3,15,24,1
0,0,0,0,0,0,0,2,0,2,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,0,0,0,0,0,0,46,0,46,0,0,0,1
277,4.1300813008,19.3739837398,2.1138211382,32,7,2383,40,123,40,123,819,224,0
12,2.1,11.4,1.1,3,6,114,1,10,1,10,37,18,1
1,0,0,0,0,0,0,2,0,2,0,0,0,1
2,4,29,2,5,2,58,0,2,0,2,14,10,1
0,0,0,0,0,0,0,2,0,2,0,0,0,1
0,0,0,0,0,0,0,2,0,2,0,0,0,1
7,10.8101265823,45.7341772152,2.1518987342,34,4,3613,4,79,4,79,623,136,0
0,2.2,8.6,2,2,5,43,0,5,0,5,8,10,1
3,3.6296296296,16.6574074074,2.5277777778,56,100,1799,10,108,10,108,531,5600,0
3,1.7,6.3,1.8,8,10,63,6,10,6,10,27,80,1
9,3.8275862069,17.7155172414,2.1896551724,27,72,2055,9,116,9,116,493,1944,0
0,0,0,0,0,0,0,3,0,3,0,0,0,1
4,3.2592592593,11.6296296296,2.4814814815,7,26,314,13,27,13,27,57,182,1
117,4.6224489796,19.806122449,2.1734693878,31,68,1941,21,98,21,98,441,2108,0
1,0,0,0,0,0,0,2,0,2,0,0,0,1
4,2.0833333333,10.75,1.5,7,12,129,2,12,2,12,32,84,1
0,0,0,0,0,0,0,1,0,1,0,0,0,1
28,10.55,65.25,2.4,46,19,3915,14,60,14,60,534,874,0
5,2.7575757576,13.3636363636,1.8181818182,20,24,441,8,33,8,33,137,480,0
1,0,0,0,0,0,0,3,0,3,0,0,0,1
1,0,0,0,0,0,0,1,0,1,0,0,0,1
113,1,3,1,0,4,12,11,4,11,4,4,0,1
5,0,0,0,0,0,0,18,0,18,0,0,0,1
2,0,0,0,0,0,0,2,0,2,0,0,0,1
88,1,2.3333333333,1,0,3,7,4,3,4,3,3,0,1
