8,0,0,0,0,0,0,54,0,54,0,0,0,1
1,0,0,0,0,0,0,4,0,4,0,0,0,1
1,0,0,0,0,0,0,8,0,8,0,0,0,1
0,4.75,26,2.25,1,4,104,0,4,0,4,7,4,1
0,2.4444444444,9.7777777778,1.7777777778,3,9,88,0,9,0,9,38,27,1
3,5,41.75,3,5,3,167,7,4,7,4,29,15,1
3,4.1428571429,19.5714285714,2.5714285714,2,2,274,22,14,22,14,35,4,1
7,2.8571428571,23.2142857143,3.7857142857,9,3,325,6,14,6,14,71,27,1
9,5.3636363636,34.7272727273,2.1818181818,3,4,382,5,11,5,11,58,12,0
0,1,1,1,0,1,1,13,1,13,1,1,0,1
1,1.5,20.5,1,0,1,41,3,2,3,2,3,0,1
22,2.5,31.5,3.75,18,1,126,70,4,70,4,53,18,1
14,1.7777777778,39.5555555556,1.5555555556,4,5,356,4,9,4,9,30,20,1
12,2.6153846154,25.6923076923,1.9230769231,4,6,334,26,13,26,13,36,24,1
0,4.1351351351,18.4054054054,1.7027027027,4,37,681,0,37,0,37,47,148,1
3,14.7142857143,152.7142857143,3,6,2,1069,11,7,11,7,107,12,1
4,2.4736842105,21.2105263158,2.5789473684,5,2,403,14,19,14,19,81,10,1
3,3.1111111111,32.2222222222,4.4444444444,11,2,290,3,9,3,9,66,22,1
1,5.3636363636,27.2727272727,2.4545454545,11,11,300,3,11,3,11,60,121,0
1,20.2857142857,86.2857142857,3.1428571429,18,5,604,3,7,3,7,71,90,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,23.6666666667,2.6666666667,0,1,71,4,3,4,3,12,0,1
0,3.9620253165,18.1392405063,1.3544303797,16,6,1433,91,79,91,79,472,96,0
12,5.1875,29.375,1.4375,2,2,470,42,16,42,16,115,4,0
0,6.2666666667,30.3333333333,1.9333333333,5,1,455,6,15,6,15,59,5,1
10,4.8086956522,22.8782608696,2.4608695652,25,2,2631,2,115,2,115,707,50,0
8,1.8571428571,32,2.7142857143,9,3,224,0,7,0,7,51,27,1
10,1,16.3333333333,1.3333333333,1,3,49,1,3,1,3,7,3,1
1,4.2777777778,27.5,2.4444444444,12,2,495,0,18,0,18,104,24,1
1,4.1052631579,23.3684210526,2.5789473684,13,1,444,0,19,0,19,152,13,1
10,1.1818181818,18.2727272727,2.5454545455,1,3,201,0,11,0,11,35,3,1
11,1,34.7272727273,2.1818181818,3,4,382,0,11,0,11,58,12,1
8,1.25,22,3,2,7,176,0,8,0,8,17,14,1
1,2.4,19.2,1.4,1,2,96,18,5,18,5,21,2,1
4,3.2105263158,15.6842105263,1.2631578947,7,9,298,12,19,12,19,63,63,1
2,17,59.8333333333,3.6666666667,13,1,359,0,6,0,6,66,13,1
3,2.8181818182,13.9090909091,2.2727272727,1,3,153,0,11,0,11,22,3,1
0,7.75,45.5,1.75,4,2,182,0,4,0,4,38,8,1
5,9.2857142857,47.4285714286,2,2,2,332,4,7,4,7,17,4,1
2,11.5,49,1.5,10,1,98,2,2,2,2,19,10,1
1,6.7666666667,48.6333333333,4.2666666667,33,1,1459,2,30,2,30,300,33,0
0,6.5,31,1.5,4,2,248,0,8,0,8,27,8,1
2,5.8333333333,37,1.6666666667,4,2,222,1,6,1,6,37,8,1
9,13,76.8571428571,0.7142857143,5,2,538,27,7,27,7,66,10,0
1,0,0,0,0,0,0,14,0,14,0,0,0,1
0,0,0,0,0,0,0,9,0,9,0,0,0,1
6,1.9056603774,33.2830188679,2.0943396226,8,3,1764,24,53,24,53,464,24,0
2,3.2,24.9,1.9,2,1,249,13,10,13,10,58,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,4.4166666667,28,2.5833333333,5,12,336,24,12,24,12,98,60,1
8,0,0,0,0,0,0,37,0,37,0,0,0,1
2,4,22,2,2,1,22,6,1,6,1,8,2,1
0,6.4736842105,43.7368421053,1.2631578947,7,9,831,23,19,23,19,292,63,0
3,1.3333333333,43.1666666667,2,3,2,259,6,6,6,6,91,6,1
1,1,6,7,1,2,12,0,2,0,2,3,2,1
0,2,17,1.5,2,2,34,3,2,3,2,11,4,1
0,20,139,2,3,1,139,5,1,5,1,42,3,1
32,11.6666666667,77.6666666667,3.6666666667,4,2,233,5,3,5,3,44,8,1
