2,4,30.1,1.1,14,6,301,3,10,3,10,58,84,1
0,2.5,23,1.5,7,2,46,3,2,3,2,16,14,1
0,3.3333333333,27.8333333333,1.5,10,4,167,14,6,14,6,49,40,1
0,1.0869565217,5.8695652174,1,8,23,135,28,23,28,23,39,184,1
0,1.05,6.75,1.6,5,13,135,1,20,1,20,47,65,1
0,1,5.6666666667,1.6666666667,3,13,102,1,18,1,18,38,39,1
0,1.1304347826,6.3043478261,1.3043478261,3,16,145,3,23,3,23,51,48,1
0,1.0869565217,7.5652173913,1.3043478261,3,16,174,3,23,3,23,58,48,1
0,1.0869565217,6,1.3043478261,3,16,138,3,23,3,23,50,48,1
0,1.0869565217,6.3043478261,1.3043478261,3,16,145,3,23,3,23,51,48,1
0,1,3.6666666667,1,1,6,22,1,6,1,6,10,6,1
0,1.1666666667,6.5555555556,1.3333333333,3,12,118,3,18,3,18,44,36,1
0,1.1304347826,6.2608695652,1.3043478261,3,16,144,3,23,3,23,51,48,1
0,1.1304347826,6.2608695652,1.3043478261,3,16,144,3,23,3,23,51,48,1
0,1.1304347826,6.2608695652,1.3043478261,3,16,144,3,23,3,23,51,48,1
2,1.1481481481,7.4814814815,1.2592592593,4,16,202,3,27,3,27,77,64,1
0,1.1052631579,6.2631578947,1.3157894737,4,12,119,3,19,3,19,46,48,1
0,1.2222222222,9.1111111111,1.6666666667,3,13,164,1,18,1,18,49,39,1
0,1.1739130435,6.2608695652,1.3043478261,2,16,144,3,23,3,23,49,32,1
0,1.2272727273,7.8636363636,1.5454545455,6,15,173,1,22,1,22,69,90,1
0,1.1111111111,9.2962962963,1.2592592593,5,18,251,3,27,3,27,82,90,1
0,1.1875,9.90625,1.21875,9,21,317,3,32,3,32,101,189,1
14,5.25,34.125,3.125,4,2,273,13,8,13,8,63,8,1
4,3.5882352941,29.4117647059,2.9411764706,10,3,500,16,17,16,17,117,30,1
0,1.1818181818,6.7272727273,1,5,8,74,2,11,2,11,25,40,1
0,1,8.8571428571,1.0952380952,4,14,186,0,21,0,21,38,56,1
0,2.2705882353,14.2941176471,1.1529411765,10,56,1215,1,85,1,85,203,560,0
1,0,0,0,0,0,0,3,0,3,0,0,0,1
0,3.9104477612,34.7462686567,1.6119402985,43,28,2328,15,67,15,67,528,1204,0
0,2.25,16.25,1,6,3,65,3,4,3,4,17,18,1
2,4.2857142857,29.7142857143,1.4285714286,11,3,208,14,7,14,7,55,33,1
0,2.5,25,1.5,2,2,50,1,2,1,2,5,4,1
0,1.6666666667,13.3333333333,1.6666666667,2,1,40,3,3,3,3,11,2,1
0,3.35,40.25,2.45,37,4,805,11,20,11,20,192,148,0
0,10.8666666667,80.0666666667,1.6666666667,4,3,1201,4,15,4,15,60,12,1
10,5.3,28.4,1.3,6,16,568,3,20,3,20,37,96,0
0,27,333,5,3,1,333,0,1,0,1,6,3,1
1,1,13,2,0,1,13,1,1,1,1,1,0,1
4,1,13,2,0,1,13,1,1,1,1,1,0,1
3,3.5714285714,39.8571428571,2.1428571429,8,6,279,9,7,9,7,38,48,1
1,7.2,46.6,1,2,2,233,4,5,4,5,22,4,1
0,3.7142857143,25.1428571429,1.2857142857,3,5,176,0,7,0,7,15,15,1
1,3.0434782609,20.6086956522,1.1739130435,7,15,474,5,23,5,23,64,105,1
4,4.5555555556,39.7777777778,1.3703703704,17,13,1074,18,27,18,27,174,221,0
1,1.9444444444,15.4722222222,1.2638888889,16,50,1114,0,72,0,72,183,800,0
2,3.0454545455,18.2272727273,1.9090909091,9,19,401,12,22,12,22,57,171,1
12,3.25,21.625,1.6666666667,11,10,519,30,24,30,24,108,110,0
0,7.5,41.5,1,5,4,166,0,4,0,4,11,20,1
0,4.1333333333,32.5333333333,1.0666666667,7,13,488,2,15,2,15,63,91,1
12,1.625,9.575,1,4,38,383,1,40,1,40,68,152,0
3,1,19.5555555556,1.8333333333,5,10,352,0,18,0,18,42,50,1
0,3,20.84,1.24,10,17,521,3,25,3,25,75,170,0
1,0,0,0,0,0,0,2,0,2,0,0,0,1
1,0,0,0,0,0,0,4,0,4,0,0,0,1
1,0,0,0,0,0,0,2,0,2,0,0,0,1
0,3.976744186,19.7209302326,1.3488372093,11,19,848,4,43,4,43,114,209,0
