0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,7,31.6923076923,2.6923076923,19,9,412,2,13,2,13,72,171,0
0,1,14,1.5,2,2,28,2,2,2,2,7,4,1
0,1,23.5,1.5,6,2,47,2,2,2,2,13,12,1
0,1,12.5,1.5,3,2,25,1,2,1,2,6,6,1
0,1.6,18,2,14,3,90,0,5,0,5,34,42,1
0,1,37,1.5,7,2,74,2,2,2,2,12,14,1
1,2.1666666667,27,2.25,22,9,324,2,12,2,12,106,198,1
0,1,25.5,1.5,6,2,51,2,2,2,2,13,12,1
1,3,34,3,13,2,102,0,3,0,3,25,26,1
0,2,100.5,1.5,5,2,201,34,2,34,2,78,10,1
1,1.9302325581,16.2325581395,2.8372093023,17,31,698,1,43,1,43,224,527,0
0,1,11.5,1.5,2,2,23,2,2,2,2,7,4,1
0,1,10,2,2,1,10,0,1,0,1,3,2,1
6,1,29.1428571429,2.1428571429,18,7,204,0,7,0,7,62,126,1
0,1,10,2,2,1,10,0,1,0,1,3,2,1
0,1,6,1.5,1,2,12,0,2,0,2,3,2,1
2,1,21.3333333333,1.3333333333,6,2,64,3,3,3,3,16,12,1
1,1,14.5,3,4,2,29,0,2,0,2,9,8,1
0,3,30,1.5,4,2,60,2,2,2,2,12,8,1
0,2,13.3333333333,1.6666666667,2,1,40,0,3,0,3,9,2,1
0,14.5,109,1.5,12,2,218,5,2,5,2,33,24,1
1,1,25.6666666667,2.3333333333,12,3,231,0,9,0,9,50,36,1
0,1,16,1.5,3,2,32,1,2,1,2,6,6,1
0,2,21.9166666667,2.0833333333,24,8,263,2,12,2,12,97,192,1
0,3,53.5,1.5,9,2,107,4,2,4,2,24,18,1
1,2.8181818182,25.5454545455,2.1818181818,16,11,281,0,11,0,11,67,176,1
0,1,20.5,1.5,6,2,41,2,2,2,2,12,12,1
0,2,19.5,1.5,2,2,39,2,2,2,2,9,4,1
0,2.6,35.8,2.4,14,2,179,2,5,2,5,33,28,1
1,2.1739130435,22.2173913043,2.1739130435,30,17,511,0,23,0,23,129,510,1
0,1,15,1.5,4,2,30,2,2,2,2,9,8,1
1,1.5,28.25,2.5,9,3,113,0,4,0,4,23,27,1
0,3.1666666667,41.3333333333,2.5,17,2,248,2,6,2,6,64,34,1
2,2.0588235294,34,2.8823529412,25,8,578,0,17,0,17,105,200,1
0,3,34.5,1.5,9,2,69,1,2,1,2,13,18,1
1,4,39,3,9,1,39,0,1,0,1,12,9,1
0,1,8,1.5,1,2,16,1,2,1,2,4,2,1
0,1,8,2,3,1,8,0,1,0,1,4,3,1
0,1,250,1.5,7,2,500,11,2,11,2,47,14,1
1,2.3076923077,31.1153846154,2.5384615385,18,19,809,0,26,0,26,234,342,0
0,1,23.5,1.5,6,2,47,2,2,2,2,13,12,1
0,2.5,44,2.5,10,1,88,0,2,0,2,14,10,1
0,1,5,1.5,1,2,10,1,2,1,2,4,2,1
0,1,9,2,2,2,18,0,2,0,2,4,4,1
0,5.5,59,1.5,8,2,118,5,2,5,2,25,16,1
1,2.2083333333,26.6666666667,2.9166666667,32,17,640,8,24,8,24,184,544,0
0,2,15,1.5,4,2,30,1,2,1,2,7,8,1
0,3,21.6666666667,2,9,3,65,0,3,0,3,24,27,1
0,3.6666666667,84,2,16,2,252,8,3,8,3,49,32,1
1,2.2142857143,24.0714285714,2.5714285714,44,33,1011,8,42,8,42,290,1452,0
0,1,36.5,1.5,5,2,73,4,2,4,2,18,10,1
1,1.8,22.2,2.8,11,4,111,0,5,0,5,38,44,1
0,1,23.5,1.5,7,2,47,2,2,2,2,14,14,1
0,2.3333333333,28.3333333333,2.3333333333,9,2,85,0,3,0,3,17,18,1
0,2.5,23.5,1.5,6,2,47,2,2,2,2,13,12,1
0,4.9,57.4,2.6,17,2,574,2,10,2,10,119,34,1
1,2.7,36.2,4,22,2,362,0,10,0,10,74,44,1
0,1,30,1.5,4,2,60,3,2,3,2,13,8,1
1,2,21.5,2.5,8,3,86,0,4,0,4,26,24,1
0,1,11.5,1.5,2,2,23,2,2,2,2,7,4,1
0,1,10,2,2,1,10,0,1,0,1,3,2,1
0,2.5,26,1.5,7,2,52,1,2,1,2,11,14,1
0,1.5,27.4375,2.5,16,12,439,7,16,7,16,105,192,0
0,1,13,1.5,3,2,26,1,2,1,2,6,6,1
0,1.6666666667,25.4444444444,2.2222222222,15,4,229,3,9,3,9,74,60,1
0,1,17,1.5,3,2,34,2,2,2,2,8,6,1
1,1.75,24.5,2.5,9,3,98,0,4,0,4,18,27,1
0,1,34.5,1.5,7,2,69,2,2,2,2,14,14,1
1,1.3636363636,14.5454545455,2.1818181818,9,9,160,0,11,0,11,31,81,1
0,3.3333333333,39,3.3333333333,11,2,117,1,3,1,3,31,22,1
1,1.875,21.25,2.625,21,5,170,0,8,0,8,72,105,1
